iter	Passed	Remaining
300	3002	6971
301	3011	6961
302	3021	6950
303	3031	6939
304	3041	6929
305	3050	6918
306	3059	6906
307	3069	6895
308	3078	6884
309	3088	6873
310	3098	6863
311	3107	6851
312	3116	6839
313	3125	6828
314	3135	6818
315	3145	6808
316	3155	6798
317	3165	6788
318	3174	6777
319	3184	6766
320	3193	6755
321	3203	6745
322	3212	6734
323	3222	6723
324	3232	6713
325	3241	6702
326	3251	6691
327	3260	6680
328	3270	6670
329	3281	6663
330	3291	6653
331	3301	6642
332	3311	6632
333	3321	6622
334	3330	6611
335	3340	6601
336	3350	6591
337	3360	6581
338	3370	6571
339	3379	6560
340	3389	6551
341	3399	6541
342	3410	6533
343	3421	6524
344	3431	6513
345	3440	6503
346	3450	6492
347	3459	6482
348	3470	6473
349	3480	6464
350	3490	6453
351	3499	6442
352	3509	6432
353	3519	6421
354	3528	6411
355	3538	6401
356	3547	6390
357	3557	6379
358	3568	6371
359	3578	6361
360	3587	6350
361	3597	6339
362	3606	6329
363	3616	6318
364	3625	6308
365	3635	6297
366	3644	6286
367	3653	6275
368	3663	6264
369	3672	6254
370	3682	6243
371	3692	6233
372	3703	6225
373	3713	6215
374	3723	6205
375	3732	6194
376	3742	6183
377	3751	6173
378	3761	6162
379	3770	6152
380	3780	6141
381	3789	6130
382	3798	6119
383	3808	6109
384	3817	6098
385	3827	6087
386	3836	6077
387	3847	6068
388	3856	6057
389	3866	6047
390	3875	6036
391	3885	6025
392	3894	6015
393	3903	6004
394	3913	5993
395	3922	5983
396	3932	5972
397	3941	5962
398	3951	5951
399	3960	5940
400	3970	5930
401	3979	5920
402	3990	5911
403	4000	5901
404	4010	5891
405	4020	5881
406	4029	5871
407	4039	5860
408	4048	5850
409	4058	5839
410	4067	5829
411	4077	5818
412	4086	5808
413	4096	5797
414	4105	5787
415	4115	5777
416	4124	5766
417	4136	5759
418	4145	5748
419	4155	5738
420	4165	5728
421	4174	5718
422	4184	5707
423	4194	5697
424	4204	5687
425	4213	5677
426	4223	5667
427	4232	5657
428	4242	5646
429	4252	5636
430	4261	5626
431	4272	5617
432	4283	5609
433	4292	5598
434	4302	5587
435	4311	5577
436	4320	5566
437	4330	5556
438	4340	5546
439	4349	5536
440	4360	5526
441	4370	5516
442	4379	5506
443	4389	5496
444	4399	5486
445	4409	5476
446	4418	5466
447	4430	5459
448	4440	5449
449	4450	5439
450	4459	5428
451	4468	5417
452	4478	5407
453	4487	5396
454	4496	5386
455	4506	5376
456	4516	5365
457	4525	5355
458	4534	5345
459	4544	5334
460	4553	5324
461	4564	5315
462	4574	5305
463	4583	5295
464	4593	5285
465	4603	5274
466	4612	5264
467	4622	5254
468	4631	5243
469	4641	5233
470	4650	5223
471	4659	5212
472	4669	5202
473	4679	5192
474	4688	5182
475	4698	5172
476	4707	5161
477	4717	5151
478	4726	5141
479	4736	5130
480	4745	5120
481	4754	5110
482	4765	5100
483	4778	5094
484	4788	5085
485	4798	5075
486	4808	5065
487	4818	5055
488	4827	5044
489	4837	5034
490	4846	5024
491	4856	5014
492	4865	5003
493	4874	4992
494	4884	4982
495	4893	4972
496	4904	4963
497	4914	4953
498	4923	4943
499	4932	4932
500	4942	4922
501	4951	4912
502	4961	4902
503	4970	4891
504	4980	4881
505	4989	4871
506	4999	4861
507	5008	4850
508	5018	4840
509	5027	4830
510	5037	4820
511	5048	4812
512	5056	4800
513	5065	4789
514	5075	4779
515	5085	4769
516	5094	4759
517	5104	4750
518	5114	4739
519	5123	4729
520	5133	4719
521	5143	4709
522	5152	4699
523	5162	4689
524	5171	4679
525	5183	4670
526	5194	4661
527	5203	4651
528	5213	4642
529	5223	4631
530	5232	4621
531	5242	4612
532	5252	4602
533	5261	4591
534	5270	4581
535	5280	4571
536	5289	4560
537	5299	4550
538	5308	4540
539	5318	4530
540	5328	4521
541	5337	4509
542	5345	4498
543	5353	4487
544	5361	4476
545	5369	4464
546	5378	4454
547	5387	4443
548	5396	4433
549	5405	4423
550	5414	4411
551	5422	4400
552	5432	4391
553	5442	4381
554	5452	4371
555	5462	4361
556	5471	4351
557	5480	4340
558	5488	4329
559	5497	4319
560	5506	4308
561	5514	4297
562	5524	4287
563	5532	4277
564	5540	4265
565	5548	4254
566	5558	4244
567	5566	4233
568	5575	4223
569	5585	4213
570	5595	4204
571	5605	4194
572	5614	4183
573	5624	4174
574	5634	4164
575	5643	4154
576	5652	4143
577	5662	4133
578	5671	4123
579	5681	4114
580	5691	4104
581	5701	4094
582	5710	4084
583	5718	4073
584	5729	4064
585	5738	4054
586	5747	4043
587	5757	4033
588	5766	4023
589	5774	4012
590	5783	4002
591	5792	3991
592	5800	3981
593	5810	3971
594	5819	3961
595	5828	3950
596	5837	3940
597	5847	3930
598	5857	3921
599	5867	3911
600	5877	3902
601	5887	3892
602	5897	3882
603	5907	3873
604	5916	3862
605	5925	3852
606	5934	3842
607	5944	3832
608	5953	3822
609	5963	3812
610	5972	3802
611	5981	3792
612	5991	3782
613	6001	3772
614	6011	3763
615	6021	3753
616	6033	3744
617	6042	3735
618	6053	3725
619	6063	3716
620	6073	3706
621	6083	3696
622	6093	3687
623	6103	3677
624	6112	3667
625	6120	3656
626	6127	3645
627	6136	3635
628	6144	3624
629	6152	3613
630	6163	3604
631	6173	3594
632	6181	3583
633	6188	3572
634	6196	3561
635	6205	3551
636	6216	3542
637	6225	3532
638	6233	3521
639	6242	3511
640	6251	3501
641	6259	3490
642	6268	3480
643	6276	3469
644	6283	3458
645	6290	3447
646	6297	3435
647	6306	3425
648	6314	3415
649	6321	3403
650	6327	3392
651	6334	3380
652	6340	3369
653	6347	3358
654	6353	3346
655	6361	3335
656	6365	3323
657	6372	3312
658	6380	3301
659	6387	3290
660	6393	3278
661	6400	3267
662	6406	3256
663	6414	3246
664	6423	3235
665	6432	3225
666	6443	3216
667	6453	3207
668	6463	3197
669	6472	3188
670	6482	3178
671	6491	3168
672	6500	3158
673	6508	3148
674	6517	3137
675	6526	3128
676	6534	3117
677	6543	3107
678	6553	3097
679	6562	3088
680	6572	3078
681	6582	3069
682	6590	3058
683	6598	3048
684	6606	3038
685	6615	3028
686	6624	3018
687	6632	3007
688	6640	2997
689	6649	2987
690	6657	2976
691	6664	2966
692	6672	2955
693	6679	2945
694	6687	2934
695	6695	2924
696	6702	2913
697	6709	2903
698	6719	2893
699	6726	2882
700	6735	2872
701	6743	2862
702	6751	2852
703	6758	2841
704	6767	2831
705	6774	2820
706	6782	2811
707	6792	2801
708	6802	2791
709	6811	2782
710	6820	2772
711	6828	2761
712	6835	2751
713	6843	2741
714	6851	2731
715	6860	2721
716	6868	2710
717	6874	2699
718	6880	2688
719	6886	2678
720	6895	2668
721	6905	2658
722	6913	2648
723	6923	2639
724	6932	2629
725	6942	2620
726	6951	2610
727	6962	2601
728	6970	2591
729	6979	2581
730	6989	2571
731	6998	2562
732	7007	2552
733	7017	2543
734	7026	2533
735	7035	2523
736	7044	2513
737	7053	2503
738	7061	2493
739	7070	2484
740	7078	2474
741	7086	2463
742	7093	2453
743	7103	2444
744	7112	2434
745	7123	2425
746	7132	2415
747	7142	2406
748	7153	2397
749	7163	2387
750	7173	2378
751	7183	2369
752	7193	2359
753	7202	2349
754	7212	2340
755	7222	2331
756	7231	2321
757	7240	2311
758	7249	2301
759	7259	2292
760	7269	2283
761	7278	2273
762	7288	2263
763	7299	2254
764	7308	2245
765	7318	2235
766	7328	2226
767	7338	2216
768	7348	2207
769	7357	2197
770	7368	2188
771	7377	2178
772	7387	2169
773	7397	2159
774	7406	2150
775	7416	2140
776	7425	2131
777	7435	2121
778	7445	2112
779	7458	2103
780	7468	2094
781	7479	2085
782	7490	2075
783	7502	2066
784	7513	2057
785	7523	2048
786	7533	2039
787	7543	2029
788	7552	2019
789	7562	2010
790	7573	2001
791	7585	1992
792	7596	1982
793	7606	1973
794	7613	1963
795	7623	1953
796	7631	1943
797	7640	1934
798	7651	1924
799	7661	1915
800	7670	1905
801	7680	1896
802	7689	1886
803	7698	1876
804	7708	1867
805	7718	1857
806	7726	1847
807	7736	1838
808	7746	1828
809	7755	1819
810	7765	1809
811	7775	1800
812	7785	1790
813	7794	1781
814	7804	1771
815	7814	1762
816	7825	1752
817	7835	1743
818	7845	1733
819	7855	1724
820	7864	1714
821	7876	1705
822	7888	1696
823	7897	1686
824	7907	1677
825	7916	1667
826	7925	1657
827	7934	1648
828	7943	1638
829	7954	1629
830	7964	1619
831	7974	1610
832	7984	1600
833	7993	1591
834	8003	1581
835	8013	1572
836	8022	1562
837	8033	1553
838	8041	1543
839	8051	1533
840	8060	1524
841	8071	1514
842	8081	1505
843	8090	1495
844	8100	1485
845	8110	1476
846	8120	1466
847	8129	1457
848	8139	1447
849	8148	1438
850	8159	1428
851	8170	1419
852	8179	1409
853	8190	1400
854	8199	1390
855	8209	1381
856	8219	1371
857	8228	1361
858	8237	1352
859	8247	1342
860	8257	1333
861	8267	1323
862	8277	1314
863	8287	1304
864	8298	1295
865	8309	1285
866	8320	1276
867	8329	1266
868	8339	1257
869	8349	1247
870	8360	1238
871	8370	1228
872	8380	1219
873	8390	1209
874	8400	1200
875	8410	1190
876	8420	1180
877	8430	1171
878	8439	1161
879	8448	1152
880	8458	1142
881	8468	1132
882	8478	1123
883	8488	1113
884	8500	1104
885	8512	1095
886	8523	1085
887	8534	1076
888	8546	1067
889	8555	1057
890	8563	1047
891	8574	1038
892	8584	1028
893	8594	1018
894	8603	1009
895	8613	999
896	8623	990
897	8635	980
898	8647	971
899	8657	961
900	8668	952
901	8676	942
902	8686	933
903	8694	923
904	8702	913
905	8711	903
906	8721	894
907	8728	884
908	8737	874
909	8747	865
910	8756	855
911	8766	845
912	8778	836
913	8788	826
914	8798	817
915	8808	807
916	8818	798
917	8828	788
918	8836	778
919	8846	769
920	8855	759
921	8865	749
922	8874	740
923	8884	730
924	8893	721
925	8903	711
926	8915	702
927	8926	692
928	8935	682
929	8944	673
930	8953	663
931	8963	653
932	8973	644
933	8982	634
934	8992	625
935	9000	615
936	9009	605
937	9018	596
938	9028	586
939	9036	576
940	9045	567
941	9054	557
942	9064	547
943	9073	538
944	9082	528
945	9091	518
946	9100	509
947	9109	499
948	9117	489
949	9125	480
950	9133	470
951	9140	460
952	9149	451
953	9158	441
954	9167	431
955	9176	422
956	9185	412
957	9196	403
958	9207	393
959	9217	384
960	9226	374
961	9236	364
962	9245	355
963	9255	345
964	9265	336
965	9275	326
966	9285	316
967	9295	307
968	9304	297
969	9314	288
970	9323	278
971	9334	268
972	9345	259
973	9355	249
974	9365	240
975	9374	230
976	9383	220
977	9393	211
978	9402	201
979	9412	192
980	9421	182
981	9430	172
982	9440	163
983	9449	153
984	9459	144
985	9469	134
986	9478	124
987	9490	115
988	9500	105
989	9509	96
990	9519	86
991	9528	76
992	9538	67
993	9549	57
994	9560	48
995	9570	38
996	9580	28
997	9590	19
998	9600	9
999	9609	0
